"URL"	"Keywords"	"Keyword Count"	"DateTime"	"Favorite Count"	"Retweet"	"Lang"	"LinkCount"	"Link1"	"Link2"	"Link3"	"Author"	"Text"	"Followers"	"Friends"	"Location"	"Timezone"	"UTC Offset"
"http://twitter.com/299648190/status/720036263982555136"	""	"0"	"Tue Apr 12 23:49:57 +0000 2016"	"0"	"0"	"en"	"3"	"https://t.co/Vu3GZyTZtE"	"https://t.co/Ccx0rwu1BP"	"https://t.co/Vu3GZyTZtE"	"booboo_facebook"	"https://t.co/Vu3GZyTZtE Russian TV's spy claims shown up by poor English: Russian TV spy ... https://t.co/Ccx0rwu1BP https://t.co/Vu3GZyTZtE"	"20"	"0"	"London"	"Casablanca"	"3600"
"http://twitter.com/1632102888/status/720036270286757888"	""	"0"	"Tue Apr 12 23:49:59 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/RAFRmzYToM"	""	""	"windymalum"	"RT @5SOS: SOUNDS LIVE FEELS LIVE // LONDON // THE O2 //  07.04.16 - 08.04.16 https://t.co/RAFRmzYToM"	"1930"	"487"	"Chicago, IL"	"Central Time (US & Canada)"	"-18000"
"http://twitter.com/125687810/status/720036280931901440"	""	"0"	"Tue Apr 12 23:50:01 +0000 2016"	"0"	"0"	"en"	"2"	"https://t.co/z21EoECASG"	"https://t.co/WcLCoqxgKL"	""	"aggy3001"	"RT @DailySquat: Queen spotted handing out UKIP leaflets in London over the weekend https://t.co/z21EoECASG https://t.co/WcLCoqxgKL"	"137"	"472"	"Britain"	"London"	"3600"
"http://twitter.com/2742897583/status/720036257452011522"	""	"0"	"Tue Apr 12 23:49:56 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"hayley2311"	"RT @GlamourReese: Reese Witherspoon (@RWitherspoon) and Robert Pattinson at the Water For Elephants premiere in London 5 years ago: https:/…"	"414"	"230"	"Los Angeles, CA"	""	""
"http://twitter.com/722240263/status/720036277119295488"	""	"0"	"Tue Apr 12 23:50:00 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"ibolyaP"	"@jafarmirsalari Black cabs in London doing campaign reminding public to use them versus Uber.  Many problems with Uber over there."	"108"	"167"	"Toronto, Ontario"	"Eastern Time (US & Canada)"	"-14400"
"http://twitter.com/82750524/status/720036257020186624"	""	"0"	"Tue Apr 12 23:49:55 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/0H…"	""	""	"CesarMorenoH"	"RT @BBCBreaking: Man, 50, charged with murder of antique dealer Adrian Greenwood, found dead at his Oxford home on Thursday https://t.co/0H…"	"4000"	"3767"	"BOGOTA"	"Bogota"	"-18000"
"http://twitter.com/4317500056/status/720036279207862272"	""	"0"	"Tue Apr 12 23:50:01 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/TVySzSiG6X"	""	""	"EliReading"	"RT @jaqhazell: At London Book Fair #LBF https://t.co/TVySzSiG6X"	"7582"	"6641"	""	""	""
"http://twitter.com/287906454/status/720036263403716608"	""	"0"	"Tue Apr 12 23:49:57 +0000 2016"	"0"	"0"	"en"	"3"	"https://t.co/IehAstU7pD"	"https://t.co/IlvYLWWuM5"	"https://t.co/IehAstU7pD"	"booboo_SAfrica"	"https://t.co/IehAstU7pD Russian TV's spy claims shown up by poor English: Russian TV spy ... https://t.co/IlvYLWWuM5 https://t.co/IehAstU7pD"	"321"	"90"	"London"	"Casablanca"	"3600"
"http://twitter.com/621971619/status/720036276326502401"	""	"0"	"Tue Apr 12 23:50:00 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/GD2s10WR5G"	""	""	"BioEng_MoniNane"	"#TravelTherapy #Energy #Healing&gt;Our natural design isTo regenerate,reorganize&amp; toBE #Healthy,Abundant&amp; Happy #London https://t.co/GD2s10WR5G"	"1001"	"2909"	"London: W1, W2, W8,SW1,WC1,WC2"	"London"	"3600"
"http://twitter.com/520679367/status/720036261814255616"	""	"0"	"Tue Apr 12 23:49:57 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/bVExMeu9b1"	""	""	"salvador__arg"	"RT @5SOS: SOUNDS LIVE FEELS LIVE // LONDON // THE O2 //  07.04.16 - 08.04.16  https://t.co/bVExMeu9b1 via @1DeniHenderson"	"1808"	"661"	"Luna 10-01-14|-.....-|21-07-14"	"Atlantic Time (Canada)"	"-10800"
"http://twitter.com/283526602/status/720036260476100609"	""	"0"	"Tue Apr 12 23:49:56 +0000 2016"	"0"	"0"	"en"	"3"	"https://t.co/9jfy89vcDS"	"https://t.co/0zKY6IcXbo"	"https://t.co/9jfy89vcDS"	"booboo_US"	"https://t.co/9jfy89vcDS Russian TV's spy claims shown up by poor English: Russian TV spy ... https://t.co/0zKY6IcXbo https://t.co/9jfy89vcDS"	"645"	"1994"	"London"	"Casablanca"	"3600"
"http://twitter.com/1007138047/status/720036269322084353"	""	"0"	"Tue Apr 12 23:49:58 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/j7xLfITmUV"	""	""	"kenisahome"	"A brush with Picasso: rare portraits to be displayed in London https://t.co/j7xLfITmUV"	"652"	"1291"	"USA"	"Pacific Time (US & Canada)"	"-25200"
"http://twitter.com/4112625706/status/720036267245707264"	""	"0"	"Tue Apr 12 23:49:58 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/uamGL6xBto"	""	""	"SweetVictoryMus"	"Thank you #muse for coming to #London #theO2 You are incredibly talented! ❤️ #museband #music… https://t.co/uamGL6xBto"	"69"	"286"	"London, England"	""	""
"http://twitter.com/20638279/status/720036257036783616"	""	"0"	"Tue Apr 12 23:49:55 +0000 2016"	"0"	"0"	"und"	"1"	"https://t.co/SrYvnyjVZO"	""	""	"kimmasters"	"Yay? https://t.co/SrYvnyjVZO"	"6387"	"56"	"los angeles"	"Pacific Time (US & Canada)"	"-25200"
"http://twitter.com/2998910540/status/720036264594898944"	""	"0"	"Tue Apr 12 23:49:57 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"jl8907052"	"RT @JackJackJohnson: London I Love You!! Insanity. That show was so much fun :) long drive/ferry ride to Belgium ahead!"	"46"	"151"	"Santa Barbara, CA"	""	""
